ID,course,completed,upgraded,gender,country,age,education,job,major,logged_location,registration_year,registration_month,registration_day,registration_hour,registration_minute,withdrawl_year,withdrawl_month,withdrawl_day,withdrawl_hour,withdrawl_minute,completion_year,completion_month,completion_day,completion_hour,completion_minute,upgrade_year,upgrade_month,upgrade_day,upgrade_hour,upgrade_minute
284921427,1,0,0,0,0,0,0,0,0,0,2011,2,25,21,54,2012,5,12,14,19,0,0,0,0,0,0,0,0,0,0
284926400,1,0,0,0,0,0,0,0,0,0,2011,3,24,11,10,2012,5,4,12,4,0,0,0,0,0,0,0,0,0,0
284946595,1,0,0,0,0,0,0,0,0,0,2011,2,11,13,51,2012,5,20,8,4,0,0,0,0,0,0,0,0,0,0
285755462,1,0,0,0,0,0,0,0,0,56,2011,4,17,15,20,2011,9,1,10,55,0,0,0,0,0,0,0,0,0,0
285831220,1,1,0,0,0,0,0,0,0,0,2011,2,22,19,41,0,0,0,0,0,2011,5,29,15,58,0,0,0,0,0
286210009,1,0,0,0,0,0,0,0,0,0,2011,5,21,8,38,2012,5,10,21,10,0,0,0,0,0,0,0,0,0,0
286313771,1,0,0,0,0,0,0,0,0,0,2011,2,10,10,10,2012,5,26,22,33,0,0,0,0,0,0,0,0,0,0
286363959,1,0,0,0,0,0,0,0,0,0,2011,2,25,15,7,2012,4,17,16,32,0,0,0,0,0,0,0,0,0,0
286566987,1,0,0,0,0,0,0,0,0,0,2011,3,11,7,27,2012,4,12,21,31,0,0,0,0,0,0,0,0,0,0
286682679,1,0,0,0,0,0,0,0,0,0,2011,6,11,17,40,2012,4,11,9,28,0,0,0,0,0,0,0,0,0,0
287563734,1,0,0,0,0,0,0,0,0,0,2011,3,10,11,52,2012,6,13,17,1,0,0,0,0,0,0,0,0,0,0
288096268,1,0,0,0,0,0,0,0,0,0,2011,2,10,9,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288669794,1,0,0,0,0,0,0,0,0,0,2011,2,19,20,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288689440,1,0,0,0,0,0,0,0,0,0,2011,4,9,19,12,2012,4,27,9,47,0,0,0,0,0,0,0,0,0,0
288918962,1,0,0,0,0,0,0,0,0,0,2011,3,3,2,44,2012,4,5,17,54,0,0,0,0,0,0,0,0,0,0
